,file,content,topic,persons,institutions,abstract
0,01.txt,"Stav České pošty není dobrý, Ministerstvo vnitra proto připraví její transformaci
Jednou z priorit Ministerstva vnitra pro letošní rok bude příprava transformace České pošty. Státní podnik se díky tomu změní v životaschopnou instituci. Poštu od 1. března 2023 dočasně povede dosavadní statutární zástupce generálního ředitele Miroslav Štěpán. 

Ministerstvo vnitra letos připraví návrh transformace České pošty, která státnímu podniku umožní adekvátně reagovat na vývoj na poštovním trhu a stát se moderní institucí nabízející občanům moderní služby. Plány dalšího směřování České pošty dnes, 1. února 2023, představil ministr vnitra Vít Rakušan. Transformaci připraví meziresortní pracovní skupina. Cílem bude najít politickou shodu na tom, jakou podobu má státní podnik mít, jak se má dále rozvíjet, jak reagovat na digitalizaci a jaké služby nabízet. Jedním z hlavních předpokladů však je, že základní poštovní služby zůstanou zachovány a pobočky se nebudou rušit v malých městech a vesnicích. „Nutnou transformaci předchozí politické vedení léta odkládalo. Já si ji však beru za svou prioritu. Pošta se musí přizpůsobit novým trendům a my najdeme takové řešení, které poštu změní v moderní životaschopný podnik,“ uvedl ministr vnitra Vít Rakušan s tím, že je otázkou politické i odborné diskuse, zda se pošta např. rozdělí na část, která bude zajišťovat nutné a neziskové listovní služby, a na část, která je schopná generovat zisk. Podle ministra vnitra je politická shoda na tom, že transformace musí proběhnout co nejdříve a Ministerstvo vnitra nebude její přípravu odkládat.

Ministr vnitra také informoval o tom, že z výběrového řízení nevzešel vhodný kandidát na nového generálního ředitele. Současný generální ředitel proto skončí posledního února letošního roku a od 1. března poštu povede jeho statutární zástupce, ředitel divize státní poštovní služby Miroslav Štěpán. „Je skvělé, že poštu v době přípravy transformace povede manažer, který na poště řídí pro poštu i občany stěžejní pobočkovou síť,“ dodal Vít Rakušan. Teprve v době, až bude vytvořený konkrétní návrh transformace, vypíše Ministerstvo vnitra řádné výběrové řízení na generálního ředitele.

Diskuse se také povede o větší efektivitě pobočkové sítě, např. o tom, zda pošta opravdu potřebuje vlastnit velké a neúsporné pobočky nebo kolik poboček je třeba mít v jednom městě. Zásadní součástí této diskuse však bude komunikace s regiony, místními samosprávami a odbory. Platí také, že v malých městech a vesnicích se pobočky rušit nebudou.",Transformace České pošty,"['Vít Rakušan', 'Miroslav Štěpán']","['Ministerstvo vnitra', 'Česká pošta']","Ministerstvo vnitra letos připraví návrh transformace České pošty, která státnímu podniku umožní adekvátně reagovat na vývoj na poštovním trhu. Cílem bude najít politickou shodu na tom, jakou podobu má státní podnik mít. Současný generální ředitel skončí a od 1. března poštu povede jeho statutární zástupce."
1,02.txt,"Volit se bude jen v jeden den. Volby čekají i další novinky
Jednodenní volby namísto dvoudenních, podání žádosti o voličský průkaz na kterémkoli obecním úřadě nebo stanovení pevného termínu konání komunálních, krajských a senátních voleb. To jsou hlavní novinky z balíčku zákonů, který dnes, 1. února 2023, schválila vláda. 

Česká republika je v Evropské unii posledním státem se dvěma volebními dny. Vláda dnes dala zelenou návrhu Ministerstva vnitra, aby se všechny druhy voleb konaly v jednom dni. Pokud v rámci legislativního procesu nezasáhne Parlament, bude hlasování probíhat v pátek od 7 do 22 hodin.  Volební místnosti tak budou otevřeny o hodinu déle, než je aktuální doba pro hlasování při dvoudenních volbách.

Další, pro voliče významnou, změnou je zrušení místní příslušnosti pro výdej voličských průkazů. Nově tak bude možné žádat na kterémkoli obecním nebo zastupitelském úřadě. Umožní to vytvoření informačního systému správy voleb, díky kterému půjde i elektronicky sbírat podpisy na petici pro podporu kandidatury nebo podávat kandidátní listiny. „V programovém prohlášení jsme voličům slíbili modernizaci správy voleb a snazší získávání voličských průkazů. Tímto svůj slib plníme,“ uvedl ministr vnitra Vít Rakušan. Z programového prohlášení už chybí pouze zavést korespondenční hlasování pro Čechy v zahraničí. „Prezidentské volby, které právě skončily, nám znovu ukázaly, jak by korespondenční volba krajanům ulehčila život. Budu se snažit znovu otevřít diskusi o návrhu, který už dávno leží v Poslanecké sněmovně a ke kterému jsme se kvůli obstrukcím opozice nedostali,“ dodal ministr Rakušan.

Mezi další novinky v oblasti voleb patří například stálejší vymezení senátních volebních obvodů. K jejich  změně by nyní mohlo dojít maximálně jednou za 12 let z důvodu zachování přibližně shodného počtu voličů na jeden senátorský mandát. Návrh zákona také stanovuje pevný termín voleb do zastupitelstev obcí, krajů a do Senátu v prvním celém říjnovém týdnu. Změnou projdou i hlasovací lístky pro volby prezidenta republiky a do Senátu, kdy současnou sadu  lístků nahradí pouze jeden lístek se seznamem kandidátů.

Změny by měly platit od 1. ledna 2026. S rychlejší účinností se počítá v případě další novinky, kterou je navrhované zrušení odvodu pojistného z odměn členů okrskových volebních komisí. To by mohlo platit již pro volby do zastupitelstev krajů v příštím roce.

Ministerstvo vnitra se také nad rámec zákona o správě voleb zabývá možnou úpravou legislativy v souvislosti s proběhlými prezidentskými volbami. V reakci na aplikační praxi a stanoviska Nejvyššího správního soudu je ministerstvo připravené předložit návrh změny zákona o volbě prezidenta republiky. To mu ostatně svým usnesením na základě doporučení Legislativní rady vlády uložila vláda.",Novinky ve volbách,['Vít Rakušan'],"['Ministerstvo vnitra', 'Parlament', 'Poslanecká sněmovna', 'Nejvyšší správní soud', 'Legislativní rada vlády']","Vláda dala zelenou návrhu Ministerstva vnitra, aby se všechny druhy voleb konaly v jednom dni. Nově bude možné žádat o voličský průkaz na kterémkoli obecním úřadě. Další novinkou je stanovení pevného termínu konání voleb. Změny by měly platit od 1. ledna 2026."
2,03.txt,"Namátkové kontroly na hranicích se Slovenskem se prodlouží o 10 dnů
Vláda rozhodla o prodloužení kontrol na hranicích se Slovenskem o dalších 10 dnů. Kontroly, které poslední měsíc probíhaly namátkově, bude mít od čtvrtka 26. ledna 2023 nově na starosti pouze policie. Nebudou se tak na nich podílet vojáci ani celníci. 

Ministr vnitra Vít Rakušan dnes, ve středu 25. ledna 2023, prosadil na vládě prodloužení dočasných kontrol na hranicích se Slovenskem o dalších 10 dnů, tedy do 4. února, opatření se však vzhledem ke zlepšující se situaci budou dále zmírňovat. Stále budou mít formu namátkových kontrol, kterou vláda schválila koncem prosince loňského roku, nově je však budou mít na starosti pouze příslušníci policejního sboru.

Kontroly na hranicích se Slovenskem jsou dočasně znovu zavedené od 29. září 2022, a to v souladu s platnou legislativou EU. Jde o preventivní opatření, které umožnilo udržet rostoucí nelegální migraci pod kontrolou, zabránilo další eskalaci i aktivitě organizovaných skupin převaděčů.

„Naše opatření zafungovalo, proto jsme už v prosinci kontroly zmírnili. Nechceme ale nic uspěchat a režim na hranicích chceme uvolňovat postupně, dokud se situace nevrátí zcela do normálu. Namátkové kontroly tak zůstanou dalších 10 dní, podílet se na nich ale bude už jen policie,“ vysvětlil ministr vnitra Vít Rakušan s tím, že policie bude situaci průběžně dále sledovat a vyhodnocovat.

Na kontrolách se ještě začátkem prosince loňského roku podílelo 80 vojáků v činné službě a 60 příslušníků Celní správy. Jejich počet se postupně snížil na 40 vojáků a 20 celníků. Od zítřka už v kontrolách bude pokračovat jen policie. „Děkuji vojákům a celníkům za pomoc, která byla v době největšího náporu více než potřebná, a navíc nám ukázala, že spolupráce těchto bezpečnostních sborů v praxi funguje na výbornou,“ doplnil ministr vnitra.

Od zavedení opatření zkontrolovali policisté do dnešního rána 3 091 107 lidí. Při nelegální migraci zjistili 9567 osob a vstup neumožnili 2545 z nich. V rámci opatření zadrželi 141 osob podezřelých z převaděčství.",Namátkové kontroly na hranicích se Slovenskem,['Vít Rakušan'],"['vláda', 'policie', 'vojáci', 'celníci']","Vláda rozhodla o prodloužení kontrol na hranicích se Slovenskem o dalších 10 dnů. Kontroly, které poslední měsíc probíhaly namátkově, bude mít od čtvrtka 26. ledna 2023 nově na starosti pouze policie. Ministr vnitra Vít Rakušan prosadil na vládě prodloužení dočasných kontrol na hranicích se Slovenskem o dalších 10 dnů."
3,04.txt,"Předsedové koaličních stran projednají situaci České pošty
Ministr vnitra dnes předsedům koaličních stran představí hlavní body, které by měl stát přijmout, aby Česká pošta dokázala i v budoucnu plnit všechny své služby a byla ekonomicky stabilní. Výsledkem by měla být politická shoda na konkrétních krocích, kterými poté vláda poštu podpoří. 

Předsedové koaličních stran se dnes, 10. ledna 2023, v rámci skupiny K5 budou věnovat aktuální situaci České pošty. Ministr vnitra Vít Rakušan ostatní předsedy seznámí jak s kroky, které v rámci stabilizace státního podniku resort vnitra i pošta přijaly v minulém roce, tak s kroky, které stát musí udělat, aby pošta zůstala silným a konkurenceschopným podnikem. „Česká pošta je strategický podnik, který však není v dobrém stavu. Proto musíme najít politickou shodu na tom, jak poštu podpořit, aby přežila. Už rok děláme z pozice zakladatele pro Českou poštu maximum a podporu jí samozřejmě poskytneme i letos, protože lidé stabilní poštu potřebují,“ říká ministr vnitra Vít Rakušan.

Ministerstvo vnitra už při podpoře státního podniku např. zahájilo jednání s Ministerstvem financí, které si uvědomuje význam České pošty pro společnost. „Dosáhli jsme u EU rozhodnutí, díky němuž může pošta od státu dostat kompenzaci za služby, které si u ní stát objednal. To poště přineslo 1,5 mld. ročně a pomohlo jí zlepšit cash flow.Máme připravený návrh na odstranění ročních limitů úhrady čistých nákladů zmíněné univerzální služby a zrychlení výplaty finančních prostředků,“ vysvětluje Vít Rakušan.

Vloni také začala fungovat nová dozorčí rada České pošty složená z odborníků. „Aby se nám podařilo Českou poštu ekonomicky stabilizovat, potřebujeme maximální podporu ze strany Ministerstva vnitra i vlády. Likvidita České pošty musí mít absolutní prioritu,“ doplnil předseda dozorčí rady České pošty Martin F. Herrmann.
Důležitým krokem je absolutně transparentní otevřené výběrové řízení na nového generálního ředitele České pošty, které stále probíhá a ukončeno bude 31. ledna 2023. Před ukončením procesu výběru nebude Ministerstvo vnitra zveřejňovat průběžné informace.

Mezi nutnou podporu, kterou bude Česká pošta od státu potřebovat, patří např. diskuse o rozsahu pobočkové sítě, již zmíněné zrušení limitu kompenzace za univerzální službu, předložení a schválení transformačního plánu nebo projednání novely zákona o poštovních službách.",Česká pošta,"['Vít Rakušan', 'Martin F. Herrmann']","['Ministerstvo vnitra', 'Ministerstvo financí']","Ministr vnitra dnes předsedům koaličních stran představí hlavní body, které by měl stát přijmout, aby Česká pošta dokázala i v budoucnu plnit všechny své služby a byla ekonomicky stabilní. Výsledkem by měla být politická shoda na konkrétních krocích, kterými poté vláda poštu podpoří."
4,05.txt,"Zůstaňte v klidu doma. O voličský průkaz pro volby prezidenta republiky můžete žádat nově online i přes Portál občana
Plánujete při lednových volbách prezidenta republiky volit mimo své trvalé bydliště? Jde to na voličský průkaz. Ten teď získáte jednodušeji než dřív. Pokud máte datovou schránku propojenou s Portálem občana, stačí v Portálu občana jen „odkliknout“ předem předvyplněnou žádost. 

Už 13. a 14. ledna 2023 nás čeká první kolo voleb prezidenta republiky. Volit hlavu státu můžete nejen v místě trvalého bydliště, ale na voličský průkaz i v jakékoli volební místnosti na území Česka, případně i v zahraničí. O „voličák“ lze nově žádat online také přes Portál občana na www.obcan.portal.gov.cz. Potřebujete k tomu pouze trvalé bydliště v České republice a datovou schránku fyzické osoby propojenou právě s Portálem občana.
Žádost podáte na několik kliknutí přímo v portálu. „V elektronizaci státní správy nás čeká ještě hodně práce. Možnost požádat o voličský průkaz online bez nutnosti cokoliv složitě vyplňovat ale považuji za skvělou věc a výrazný posun oproti minulé volbě prezidenta,“ říká ministr vnitra Vít Rakušan.
Do Portálu občana se přihlásíte i v případě, že jste ho dosud nevyužívali, jde to totiž i přihlašovacími údaji vaší datové schránky nebo např. přes bankovní identitu. Po přihlášení už je jen na vás, zda si přejete průkaz vyzvednout na obecním úřadu v místě trvalého bydliště, zaslat na svou adresu v Česku nebo v zahraničí, případně na zastupitelský úřad, kde chcete volit. Potřebné informace k voličskému průkazu najdete zde.

Online i osobně
O voličský průkaz můžete žádat také ze své datové schránky, písemně s úředně ověřeným podpisem nebo osobně u svého obecního úřadu (vzor žádosti zde). Žádost je třeba dodat obecnímu úřadu nejpozději 6. ledna 2023 do 16 hodin, osobně lze žádat do 11. ledna 2023 rovněž do 16 hodin.
Datovou schránku fyzické osoby má v tuto chvíli cca 560 tisíc občanů, zřídit ji lze na počkání také online (návod na www.chcidatovku.cz).

Pozor, v případě vydání voličského průkazu můžete volit jen na voličský průkaz i v případě, že nakonec budete volit ve své volební místnosti. Platí také, že za ztracený voličský průkaz nelze vydat duplikát.",Volby prezidenta republiky,['Vít Rakušan'],"['Portál občana', 'obecní úřad']","V lednových volbách prezidenta republiky můžete volit na voličský průkaz, který lze nově žádat online přes Portál občana. O voličský průkaz můžete žádat také osobně u obecního úřadu."
5,06.txt,"Rok 2022 na vnitru: Bezpečnostní důsledky války na Ukrajině, předsednictví EU, rozvoj elektronizace i řešení nelegální migrace
Letošní rok přinesl Ministerstvu vnitra jako ústřední téma řešení bezpečnostní situace a důsledků ruské agrese na Ukrajině. Neřešilo se ale jenom to. Mezi další témata např. patřil rozvoj elektronizace státní správy nebo české předsednictví EU. 

Česká republika se od února 2022 potýkala s dopady, které zavinil ruský útok na Ukrajinu. Ministerstvo vnitra (MV) v této souvislosti koordinovalo oblast vnitřní bezpečnosti, kdy do EU uprchlo několik milionů především žen a dětí z Ukrajiny. Česko letos dokázalo pomoci přibližně půl milionu ukrajinských uprchlíků, což je na přepočet obyvatel nejvíce z celé EU. Ti díky zřízení krajských asistenčních center pomoci ve všech krajích získali rychle oficiální statut, ubytování i další základní pomoc. Situaci zvládlo MV díky skvělé spolupráci složek IZS, krajů, regionů i dobrovolníků z řad občanů. Součástí pomoci MV byla i zdravotní a humanitární podpora obětí války v Česku i přímo na Ukrajině. Více o pomoci např. zde.

Téma podpory Ukrajině bylo zásadní i během českého předsednictví EU, které ČR převzalo 1. července. Mezi dalšími prioritami MV byl také boj proti sexuálnímu zneužívání dětí. Z hlediska zvládání rostoucí vlny nelegální migrace přes západní Balkán bylo klíčové listopadové jednání v Albánii. Na ministerském fóru vedeném ministrem vnitra Vítem Rakušanem se podařilo dosáhnout výrazného pokroku s některými balkánskými státy, který povede k jejich důraznějšímu postupu proti nelegální migraci. „Letos jsme Evropě ukázali, že jsme spolehlivým členem EU. Ať už šlo o zvládnutí dopadů ruské agrese na Ukrajinu, nebo o výzvy plynoucí z předsednictví EU, nikdo nemůže pochybovat o tom, že Česko i jeho občané jsou důležitou součástí Unie,“ říká ministr vnitra Vít Rakušan.

eGovernment, volby a další téma
I rok 2022 se nesl ve znamení rozšiřování online služeb státu a nárůstu počtu jejich uživatelů. Alespoň jednu elektronickou identitu občana už má 5,8 mil. občanů, o 900 tis. více než před rokem. Portál občana využívá cca 585 tis. lidí. Jen za letošek to znamená nárůst 260 tisíc uživatelů, kteří od letošního roku mohou v Portálu občana např. nově založit i podepsat petici online nebo třeba požádat o voličský průkaz. Dále rostl počet datových schránek, které si lidé zřizovali dobrovolně. Zatímco v roce 2019 šlo o 38 tisíc nově na žádost zřízených datovek pro fyzické osoby, letos se jednalo už o 177 tisíc.

MV také letos prosadilo, aby zřízení datové schránky zůstalo pro běžné občany dobrovolné. Od roku 2023 tak stát začne nově ze zákona zřizovat datovku jen subjektům vedeným v registru osob (více zde).

Ministerstvo vnitra po organizační stránce připravilo zářijové volby do obecních zastupitelstev a části Senátu. Před volbami MV spustilo informační kampaň s cílem zvýšit informovanost občanů. Kromě toho připravilo také reformu správy voleb, jejíž součástí jsou např. jednodenní volby nebo zjednodušení hlasovacích lístků.

Zatímco rok 2021 přinesl jako hlavní zásah bezpečnostních složek tornádo na Moravě, ústředním zásahem roku 2022 byl pro hasiče i policisty požár ve Hřensku. Za likvidaci největšího lesního požáru v historii Česka prosadilo MV pro policisty a hasiče mimořádné prostředky ve výši 225 mil. Kč. Na konci roku se MV podařilo prosadit zvýšení tarifní části platů příslušníků bezpečnostních sborů o 10 %, u nástupních příjmů o 17 %. Od konce září zase kontroly policistů na státních hranicích se Slovenskem výrazně pomohly snížit do té doby rostoucí počty nelegálních migrantů přicházejících západobalkánskou trasou i aktivity organizovaných skupin převaděčů.","Bezpečnostní důsledky války na Ukrajině, předsednictví EU, rozvoj elektronizace i řešení nelegální migrace",['Vít Rakušan'],"['Ministerstvo vnitra', 'EU']",Letošní rok přinesl Ministerstvu vnitra jako ústřední téma řešení bezpečnostní situace a důsledků ruské agrese na Ukrajině. Neřešilo se ale jenom to. Mezi další témata např. patřil rozvoj elektronizace státní správy nebo české předsednictví EU.
6,07.txt,"NAKIT dočasně povede Jan Ďoubal
Vedením státní Národní agentury pro komunikační a informační technologie (NAKIT) byl pověřen právník Jan Ďoubal. Dosud v NAKITu vedl právní oddělení. 

Na návrh náměstka ministra vnitra Lukáše Koláříka byl dnes po dohodě ministra vnitra Víta Rakušana s náměstky pověřen řízením Náro   dní agentury pro komunikační a informační technologie (NAKIT) právník Jan Ďoubal.

„NAKIT čeká dost zásadní transformace a chceme mít jistotu, že veškeré právní kroky do jmenování nového ředitele budou v pořádku. Proto jsem doporučil právníka Jana Ďoubala,“ řekl náměstek ministra vnitra Lukáš Kolářík. „Doufáme, že se nám do výběrového řízení přihlásí kvalitní uchazeči, ze kterých vybereme pro takto důležitou instituci tu nejlepší nebo toho nejlepšího,“ dodal Lukáš Kolářík.

Ministerstvo vnitra vypsalo na post ředitele NAKITu otevřené výběrové řízení, přihlášky lze zasílat do 24. ledna 2023.
https://www.mvcr.cz/clanek/vyberove-rizeni-na-pozici-reditele-reditelky-narodni-agentury-pro-komunikacni-a-informacni-technologie.aspx",Vedení NAKITu,"['Jan Ďoubal', 'Lukáš Kolářík', 'Vít Rakušan']","['NAKIT', 'Ministerstvo vnitra']",Vedením státní Národní agentury pro komunikační a informační technologie (NAKIT) byl pověřen právník Jan Ďoubal. Na návrh náměstka ministra vnitra Lukáše Koláříka byl dnes po dohodě ministra vnitra Víta Rakušana s náměstky pověřen řízením NAKITu.
7,08.txt,"Kdo bude na hradě příštích pět let? Vnitro spouští informační kampaň k prezidentským volbám
Stejně jako v případě komunálních voleb, připravilo Ministerstvo vnitra i k nadcházejícím volbám prezidenta republiky informační minikampaň. Na sociálních sítích resortu se tak v následujících dnech bude možné setkat s videi a grafikami, které přiblíží proces voleb. 

Již za 16 dní si začnou Češi volit nového prezidenta republiky. Ministerstvo vnitra proto opět připravilo informační kampaň, která spočívá v postupném zveřejňování krátkých videospotů (ke zhlédnutí zde), grafik či memů na twitteru a facebooku ministerstva. Kampaň si klade za cíl přiblížit občanům proces voleb a předat jim základní informace odlehčenou a srozumitelnou formou.

„Příprava videí k volbám se stala už takovou hezkou tradicí. Při podzimních volbách do obecních zastupitelstev jsme navíc přidali grafiky a v tomto trendu pokračujeme i nyní,“ uvedl náměstek ministra vnitra Petr Vokáč. „Myslíme si, že si volby takovou pozornost zaslouží. Teď nás navíc čekají ty prezidentské, které jsou pro občany jedny z nejpopulárnějších a nejzajímavějších,“ dodal náměstek. 

Grafiky opět obsahují kreslené postavičky, které lidem vysvětlují různé prvky volebního procesu. Ty doplňují i grafiky se siluetou Pražského hradu, včetně té s ústředním motivem kampaně „O tom, kdo tam bude sedět, rozhodnete vy“. I tentokrát bude Ministerstvo vnitra některé příspěvky v omezené míře propagovat. Celá minikampaň vznikla na Ministerstvu vnitra bez dalších nákladů pro externí subjekty.",prezidentské volby,['Petr Vokáč'],['Ministerstvo vnitra'],"Ministerstvo vnitra připravilo informační kampaň k nadcházejícím prezidentským volbám. Kampaň spočívá v postupném zveřejňování krátkých videospotů, grafik a memů na sociálních sítích."
8,09.txt,"EU finančně podpořila projekt na zlepšení integrace cizinců v České republice
V rámci projektu na zlepšení integrace cizinců bylo prostřednictvím široké škály více než 24 000 intervencí podpořeno téměř 21 500 občanů ze třetích zemí. Intervence poskytovalo od roku 2019 do konce roku 2022 celkem 17, resp. 15 interkulturních pracovníků, kteří byli financováni z prostředků fondu AMIF. 

Počet osob podpořených projektem Využití interkulturních pracovníků na pracovištích pobytu cizinců a zlepšení kvality poskytování informací cizincům ze třetích zemí předčil i původní optimistická očekávání realizátorů projektu. To dokazuje, že je o danou službu zájem, cizinci chtějí být kvalitně informováni a v důsledku toho lépe integrováni do společnosti. 

Dalším výstupem projektu se stal moderní informační portál pro cizince inspirovaný nejen českým portálem veřejné správy či portálem občana, ale rovněž zahraničními migračními weby. Z hlediska Ministerstva vnitra jde o nový, interaktivní způsob komunikace a sdělování informací veřejnosti, v tomto případě cizincům.

Portál je aktuálně spouštěn v pilotním režimu a ve spolupráci s cílovými uživateli se pracuje na finálním odladění jeho funkcionalit, které vznikaly na základě analýzy uživatelských potřeb. Plnohodnotné nasazení portálu, který nahradí vybraný oddíl webových stránek Ministerstva vnitra, se plánuje na 1. čtvrtletí nadcházejícího roku (a to i v důsledku aktivit spojených s řešením migrační krize v souvislosti s válečnou agresí Ruska na Ukrajině).  Zachování a rozšíření daných aktivit se předpokládá také v novém roce, kdy bude opět požádáno o jejich podporu z prostředků EU.

Projekt má Registrační číslo: AMIF/21/01, je financován Evropskou unií v rámci národního programu Azylového, migračního a integračního fondu (AMIF) a rozpočtem Ministerstva vnitra.
",Integrace cizinců v České republice,"občanů ze třetích zemí, interkulturních pracovníků","AMIF, Ministerstvo vnitra","EU finančně podpořila projekt na zlepšení integrace cizinců v České republice. Projekt byl realizován prostřednictvím široké škály více než 24 000 intervencí, které poskytovalo 17 interkulturních pracovníků. Kromě toho byl vytvořen moderní informační portál pro cizince."
9,10.txt,"Článek o úspěších dosažených v jednotlivých formacích Rady EU
Ohlédnutí za úspěchy CZ PRES – spravedlnost a vnitřní věci (část vnitřní věci) 

Česká republika v rámci předsednictví dosáhla zásadního průlomu v azylové a migrační reformě a učinila důležitý pokrok při projednávání legislativy pro boj proti sexuálnímu zneužívání dětí. Úspěchem bylo také schválení společných pravidel v oblasti kritické infrastruktury, která přispějí k posílení odolnosti Unie. V souvislosti s válkou na Ukrajině došlo k prodloužení dočasné ochrany pro ukrajinské uprchlíky a k zahájení strukturovaného bezpečnostního dialogu s ukrajinskými úřady. Podařilo se také se dojednat společný postup Unie týkající se neuznávání ruských cestovních pasů vydaných na okupovaných územích Ukrajiny a Gruzie. Výrazným úspěchem bylo i schválení vstupu Chorvatska do schengenu.

Schengen a ochrana hranic
Jeden ze stěžejních úspěchů CZ PRES představuje rozhodnutí o rozšíření schengenského prostoru o Chorvatsko, které padlo na prosincové Radě pro spravedlnost a vnitřní věci (JHA). Od 1. ledna 2023 tak budou zrušeny kontroly na pozemních hranicích mezi Chorvatskem a sousedními schengenskými státy. Díky své usilovné práci předsednictví též připravilo půdu pro rozšíření schengenu o Bulharsko a Rumunsko.
Pro zajištění bezpečnosti v rámci prostoru bez kontrol na vnitřních hranicích jsou naprosto zásadní účinná ochrana vnějších hranic a operativní spolupráce orgánů členských států. České předsednictví se proto intenzivně věnovalo implementaci interoperability rozsáhlých informačních systémů EU v oblasti svobody, bezpečnosti a práva. Schválení revidovaného harmonogramu spuštění nové generace Schengenského informačního systému (SIS) na prosincové Radě JHA by mělo napomoci k dokončení tohoto ambiciózního projektu v roce 2023.
Významným úspěchem předsednictví bylo také dosažení dohody s Evropským parlamentem o bezvízovém styku pro Kosovo.

Společná reakce na důsledky ruské agrese
Předsednictví se od samého začátku intenzivně zabývalo dopady války na Ukrajině na migraci a bezpečnost Unie. Téma bylo předmětem celé řady politických i expertních jednání včetně říjnové a prosincové Rady JHA. Prioritní místo mělo na programu neformálního setkání ministrů vnitra dne 11. července v Praze, kde byly dopady ruské agrese projednány za účasti ministrů vnitra Ukrajiny a Moldavska. Výsledkem bylo mimo jiné spuštění Centra EU na podporu vnitřní bezpečnosti a ochrany hranic v Moldavsku pro vzájemnou spolupráci.
V dlouhodobém horizontu došlo k prodloužení dočasné ochrany pro osoby prchající před válkou do EU až do března 2024. Na říjnové radě JHA v Lucemburku ministři vnitra zemí Unie jednoznačně podpořili návrh předsednictví na zahájení bezpečnostního dialogu mezi EU a Ukrajinou. Vzájemná operativní spolupráce má zajistit lepší připravenost a reakci na bezpečnostní rizika spojená s ruskou agresí, jakými jsou pašování migrantů, obchodování s lidmi, nelegální obchod se zbraněmi, terorismus či hybridní hrozby a dezinformace. Přijetím rozhodnutí Rady o neuznávání ruských pasů vydaných na okupovaných územích Ukrajiny a Gruzie v prosinci vyslala Unie jasný a silný politický signál vůči Rusku, že jeho protizákonné jednání nehodlá tolerovat.

Účinnější azylová a migrační politika
Naprosto zásadní pokrok české předsednictví učinilo v reformě společné evropské azylové a migrační politiky a obnovilo tak několik let zablokovaná jednání. Na prosincové Radě JHA získalo širokou podporu pro svůj koncept řešící otázky solidarity a odpovědnosti v oblasti azylu založený na systému bez povinných kvót. Tento koncept přitom současně nabízí jistotu podpory zasaženým členským státům. Předsednictví zároveň dosáhlo dohody s Evropským parlamentem o dalším postupu prací.
Fungující migrační politika se neobejde bez účinné spolupráce s třetími zeměmi. České předsednictví proto věnovalo zvláštní pozornost vnější dimenzi migrace se zaměřením na všechny migrační trasy. Důkazem toho je uspořádání říjnové ministerské konference Pražského procesu, kde představitelé téměř 50 zemí schválili politickou deklaraci a akční plán formující spolupráci v dalších pěti letech. Česká republika tak navázala na své první předsednictví v Radě EU v roce 2009, kdy byl dialog o migraci mezi zeměmi EU/schengenu, Východního partnerství, západního Balkánu, střední Asie a Turecka zahájen.
S ohledem na zhoršení situace podél trasy vedoucí přes západní Balkán se migrace stala i jedním z hlavních témat ministerského jednání EU a zemí západního Balkánu v albánské Tiraně. Ze strany partnerských zemí zde došlo k důležitým závazkům v oblasti sladění vízových politik a posílení prevence nelegální migrace do EU. Téma obecného nárůstu nelegální migrace bylo také předmětem mimořádné Rady JHA, kterou předsednictví svolalo koncem listopadu.

Posílení odolnosti Unie
Na prosincovém zasedání Rady JHA došlo též k završení práce předsednictví v oblasti ochrany kritické infrastruktury. Schválení směrnice o posílení odolnosti kritických subjektů společně s přijetím doporučení Rady o koordinovaném přístupu Unie k posílení odolnosti kritické infrastruktury představují významné kroky k dalšímu posílení odolnosti Unie a její ochrany před útoky, jako byla například sabotáž plynovodů Nord Stream.  

Větší bezpečnost občanů
Za klíčovou prioritu v oblasti vnitřních věcí si české předsednictví stanovilo zlepšení boje proti sexuálnímu zneužívání dětí. Na červencovém neformálním ministerském setkání se podařilo získat politickou podporu pro návrh nové unijní legislativy. Ta má přinést účinnější pravidla pro prevenci a potírání této závažné trestné činnosti, a to zejména v online prostoru. Výsledkem je zpráva o pokroku, která by měla usnadnit další jednání o tomto komplexním a zásadním návrhu. 
Předsednictví pokračovalo i v naplňování cílů EU v oblasti boje proti organizovanému zločinu, závažné trestné činnosti a terorismu. V rámci zlepšování policejní spolupráce zahájilo a také dokončilo jednání s Evropským parlamentem o návrhu směrnice o výměně informací mezi donucovacími orgány členských zemí Unie.   ",úspěchy Rady EU,ministři vnitra,"Rada EU, Evropský parlament","České předsednictví v Rade EU dosáhlo zásadního průlomu v azylové a migrační reformě, schválení společných pravidel v oblasti kritické infrastruktury, prodloužení dočasné ochrany pro ukrajinské uprchlíky, zahájení strukturovaného bezpečnostního dialogu s ukrajinskými úřady a schválení vstupu Chorvatska do schengenu."
